Freeboard Mean (m),Displacement (Mg)
3.5814,0
3.556,31
3.5306,62
3.5052,92
3.4798,123
3.4544,154
3.429,185
3.4036,215
3.3782,246
3.3528,277
3.3274,308
3.302,339
3.2766,370
3.2512,401
3.2258,431
3.2004,462
3.175,493
3.1496,525
3.1242,556
3.0988,588
3.0734,620
3.048,651
3.0226,683
2.9972,714
2.9718,746
2.9464,778
2.921,810
2.8956,841
2.8702,873
2.8448,905
2.8194,936
2.794,968
2.7686,"1,000"
2.7432,"1,032"
2.7178,"1,064"
2.6924,"1,097"
2.667,"1,129"
2.6416,"1,161"
2.6162,"1,194"
2.5908,"1,226"
2.5654,"1,259"
2.54,"1,291"
2.5146,"1,323"
2.4892,"1,356"
2.4638,"1,388"
2.4384,"1,421"
2.413,"1,453"
2.3876,"1,486"
2.3622,"1,519"
2.3368,"1,552"
2.3114,"1,585"
2.286,"1,618"
2.2606,"1,651"
2.2352,"1,684"
2.2098,"1,717"
2.1844,"1,750"
2.159,"1,783"
2.1336,"1,816"
2.1082,"1,849"
2.0828,"1,882"
2.0574,"1,916"
2.032,"1,949"
2.0066,"1,983"
1.9812,"2,016"
1.9558,"2,049"
1.9304,"2,083"
1.905,"2,116"
1.8796,"2,150"
1.8542,"2,183"
1.8288,"2,217"
1.8034,"2,250"
1.778,"2,284"
1.7526,"2,318"
1.7272,"2,352"
1.7018,"2,386"
1.6764,"2,420"
1.651,"2,454"
1.6256,"2,488"
1.6002,"2,522"
1.5748,"2,556"
1.5494,"2,590"
1.524,"2,624"
1.4986,"2,658"
1.4732,"2,692"
1.4478,"2,727"
1.4224,"2,761"
1.397,"2,795"
1.3716,"2,830"
1.3462,"2,864"
1.3208,"2,898"
1.2954,"2,933"
1.27,"2,967"
1.2446,"3,001"
1.2192,"3,036"
1.1938,"3,070"
1.1684,"3,105"
1.143,"3,139"
1.1176,"3,174"
1.0922,"3,208"
1.0668,"3,243"
1.0414,"3,277"
1.016,"3,312"
0.9906,"3,346"
0.9652,"3,381"
0.9398,"3,415"
0.9144,"3,450"
0.889,"3,484"
0.8636,"3,519"
0.8382,"3,553"
0.8128,"3,588"
0.7874,"3,623"
0.762,"3,657"
0.7366,"3,692"
0.7112,"3,726"
0.6858,"3,761"
0.6604,"3,796"
0.635,"3,830"
0.6096,"3,865"
0.5842,"3,900"
0.5588,"3,934"
0.5334,"3,969"
0.508,"4,004"
0.4826,"4,038"
0.4572,"4,073"
0.4318,"4,108"
0.4064,"4,142"
0.381,"4,177"
0.3556,"4,212"
0.3302,"4,247"
0.3048,"4,281"
0.2794,"4,316"
0.254,"4,351"
0.2286,"4,385"
0.2032,"4,420"
0.1778,"4,455"
0.1524,"4,489"
0.127,"4,524"
0.1016,"4,559"
0.0762,"4,594"
0.0508,"4,628"
0.0254,"4,662"
0.0,"4,687"
